room	label	lat	long	level	geometry
http://id.southampton.ac.uk/room/32-1015	32 / 1015	50.93655684	-1.395870934	1	POLYGON((-1.3959999178 50.9366823121,-1.3957858493 50.9366949927,-1.395782795 50.936677104,-1.3957424607 50.9364319824,-1.3957774051 50.9364296613,-1.3959237407 50.9364200942,-1.3959558105 50.9364179996,-1.3959916533 50.936636175,-1.3959983907 50.9366738772,-1.3959999178 50.9366823121))
http://id.southampton.ac.uk/room/32-3077	32 / 3077	50.93647753	-1.395895829	3	POLYGON((-1.3959703633 50.9365132746,-1.3958256447 50.936521483,-1.3958163022 50.9364515129,-1.3958417245 50.9364498146,-1.3958530433 50.9364491919,-1.3958808012 50.9364472671,-1.3958790944 50.9364322088,-1.3959572479 50.9364275101,-1.395967309 50.936493178,-1.3959688361 50.9365033678,-1.3959703633 50.9365132746))
http://id.southampton.ac.uk/room/32-4077	32 / 4077	50.93647611	-1.395894623	4	POLYGON((-1.3959703633 50.9365132746,-1.3958256447 50.936521483,-1.3958163022 50.9364515129,-1.3958401075 50.9364494749,-1.3958530433 50.9364491919,-1.3958486415 50.9364335674,-1.3958790944 50.9364322088,-1.3959572479 50.9364275101,-1.3959703633 50.9365132746))
http://id.southampton.ac.uk/room/32-4053	32 / 4053	50.93608282	-1.395862631	4	POLYGON((-1.3959032591 50.9360974713,-1.3958288786 50.9361029059,-1.3958253752 50.9360854132,-1.3958212429 50.9360683734,-1.3958389397 50.9360670148,-1.3958967912 50.9360627689,-1.3959032591 50.9360974713))
http://id.southampton.ac.uk/room/32-3005	32 / 3005	50.93679612	-1.395910124	3	POLYGON((-1.3959317357 50.9368049857,-1.39589212 50.936807986,-1.3958895149 50.9367938902,-1.3958884369 50.9367872668,-1.3959283221 50.9367842665,-1.3959317357 50.9368049857))
http://id.southampton.ac.uk/room/32-3049	32 / 3049	50.93609604	-1.395798973	3	POLYGON((-1.3958288786 50.9361029059,-1.3957728237 50.936106812,-1.3957707576 50.936097075,-1.3957693203 50.9360889797,-1.3958253752 50.9360854132,-1.3958288786 50.9361029059))
http://id.southampton.ac.uk/room/32-3073	32 / 3073	50.93640525	-1.395898648	3	POLYGON((-1.3959572479 50.9364275101,-1.3958790944 50.9364322088,-1.3958486415 50.9364335674,-1.3958479229 50.936430284,-1.3958471144 50.9364255854,-1.395840916 50.9363830711,-1.3959469172 50.936376108,-1.3959549122 50.9364138105,-1.3959572479 50.9364275101))
http://id.southampton.ac.uk/room/32-4005	32 / 4005	50.93679611	-1.395910149	4	POLYGON((-1.3959317357 50.9368049857,-1.39589212 50.936807986,-1.3958884369 50.9367872668,-1.3959283221 50.9367842665,-1.3959317357 50.9368049857))
http://id.southampton.ac.uk/room/32-4049	32 / 4049	50.93609604	-1.395799011	4	POLYGON((-1.3958288786 50.9361029059,-1.3957728237 50.936106812,-1.3957693203 50.9360889797,-1.3958253752 50.9360854132,-1.3958288786 50.9361029059))
http://id.southampton.ac.uk/room/32-4073	32 / 4073	50.93640525	-1.395898548	4	POLYGON((-1.3959572479 50.9364275101,-1.3958790944 50.9364322088,-1.3958486415 50.9364335674,-1.3958480127 50.9364301142,-1.3958471144 50.9364255854,-1.395840916 50.9363830711,-1.3959469172 50.936376108,-1.3959572479 50.9364275101))
http://id.southampton.ac.uk/room/32-3027	32 / 3027	50.93645036	-1.395843125	3	POLYGON((-1.3959961449 50.9366638007,-1.3959045167 50.9366707071,-1.3958627451 50.9366729149,-1.3958511568 50.9366743867,-1.3958354363 50.9366741037,-1.395782795 50.936677104,-1.3957424607 50.9364319824,-1.3957341962 50.9363821087,-1.395710301 50.9362369031,-1.3957621338 50.9362339027,-1.3957783034 50.9362328837,-1.3957920477 50.9362316949,-1.3958470246 50.9362292041,-1.3958879877 50.9362271661,-1.3959240102 50.9362250149,-1.3959316459 50.9362748887,-1.3959347001 50.9362853616,-1.3959338018 50.9362939098,-1.3959469172 50.936376108,-1.395840916 50.9363830711,-1.3958471144 50.9364255854,-1.3958479229 50.936430284,-1.3958486415 50.9364335674,-1.3958498093 50.9364378132,-1.3958530433 50.9364491919,-1.3958417245 50.9364498146,-1.3958163022 50.9364515129,-1.3958256447 50.936521483,-1.3959703633 50.9365132746,-1.3959832092 50.9365887924,-1.3959850956 50.9365996616,-1.3959850956 50.9366086626,-1.3959961449 50.9366638007))
http://id.southampton.ac.uk/room/32-4027	32 / 4027	50.93645019	-1.395842993	4	POLYGON((-1.3959945279 50.936663461,-1.3959045167 50.9366707071,-1.3958627451 50.9366729149,-1.3958495398 50.9366741037,-1.3958354363 50.9366741037,-1.395782795 50.936677104,-1.3957424607 50.9364319824,-1.3957341962 50.9363821087,-1.395710301 50.9362369031,-1.3957621338 50.9362339027,-1.3957783034 50.9362327139,-1.3957920477 50.9362316949,-1.3958470246 50.9362292041,-1.3958879877 50.9362271661,-1.3959240102 50.9362250149,-1.3959316459 50.9362748887,-1.395933712 50.9362853616,-1.3959338018 50.9362939098,-1.3959469172 50.936376108,-1.395840916 50.9363830711,-1.3958471144 50.9364255854,-1.3958480127 50.9364301142,-1.3958486415 50.9364335674,-1.3958530433 50.9364491919,-1.3958401075 50.9364494749,-1.3958163022 50.9364515129,-1.3958256447 50.936521483,-1.3959703633 50.9365132746,-1.3959832092 50.9365887924,-1.395984916 50.9365994917,-1.3959850956 50.9366086626,-1.3959945279 50.936663461))
http://id.southampton.ac.uk/room/32-3001	32 / 3001	50.936802	-1.395974915	3	POLYGON((-1.3960220164 50.9368191947,-1.3959351493 50.9368257049,-1.3959317357 50.9368049857,-1.3959283221 50.9367842665,-1.3959833888 50.9367805869,-1.3960150994 50.936779115,-1.3960220164 50.9368191947))
http://id.southampton.ac.uk/room/32-3003	32 / 3003	50.93683188	-1.395991532	3	POLYGON((-1.3960249808 50.9368400837,-1.3959765616 50.9368433671,-1.3959609309 50.936844103,-1.3959575173 50.9368240066,-1.3960220164 50.9368191947,-1.3960249808 50.9368400837))
http://id.southampton.ac.uk/room/32-3007	32 / 3007	50.93681706	-1.395913757	3	POLYGON((-1.3959351493 50.9368257049,-1.3958967014 50.9368296675,-1.39589212 50.936807986,-1.3959317357 50.9368049857,-1.3959351493 50.9368257049))
http://id.southampton.ac.uk/room/32-3009	32 / 3009	50.93683631	-1.395929562	3	POLYGON((-1.3959609309 50.936844103,-1.3959016421 50.9368481789,-1.3958967014 50.9368296675,-1.3959351493 50.9368257049,-1.3959575173 50.9368240066,-1.3959609309 50.936844103))
http://id.southampton.ac.uk/room/32-3011	32 / 3011	50.93684203	-1.395854642	3	POLYGON((-1.3959016421 50.9368481789,-1.3958120801 50.936854689,-1.395808936 50.9368354983,-1.3958677756 50.936831479,-1.3958967014 50.9368296675,-1.3959016421 50.9368481789))
http://id.southampton.ac.uk/room/32-3013	32 / 3013	50.93682345	-1.395836472	3	POLYGON((-1.3958677756 50.936831479,-1.395808936 50.9368354983,-1.3958055224 50.9368147792,-1.395864901 50.9368120053,-1.3958677756 50.936831479))
http://id.southampton.ac.uk/room/32-3015	32 / 3015	50.93680398	-1.395833845	3	POLYGON((-1.395864901 50.9368120053,-1.3958055224 50.9368147792,-1.395802558 50.936796664,-1.3958608586 50.9367924749,-1.395864901 50.9368120053))
http://id.southampton.ac.uk/room/32-3017	32 / 3017	50.93678362	-1.395829809	3	POLYGON((-1.3958608586 50.9367924749,-1.395802558 50.936796664,-1.3957990545 50.9367750957,-1.3958560077 50.9367701707,-1.3958608586 50.9367924749))
http://id.southampton.ac.uk/room/32-3019	32 / 3019	50.93676104	-1.395825117	3	POLYGON((-1.3958560077 50.9367701707,-1.3957990545 50.9367750957,-1.3957950121 50.9367513762,-1.3958509772 50.9367473003,-1.3958560077 50.9367701707))
http://id.southampton.ac.uk/room/32-3021	32 / 3021	50.93673829	-1.39582094	3	POLYGON((-1.3958509772 50.9367473003,-1.3957950121 50.9367513762,-1.3957914188 50.9367291851,-1.3958463059 50.9367251658,-1.3958509772 50.9367473003))
http://id.southampton.ac.uk/room/32-3023	32 / 3023	50.93671452	-1.395816443	3	POLYGON((-1.3958463059 50.9367251658,-1.3957914188 50.9367291851,-1.3957871968 50.9367037107,-1.3958408262 50.9366998046,-1.3958463059 50.9367251658))
http://id.southampton.ac.uk/room/32-3025	32 / 3025	50.93668873	-1.395811449	3	POLYGON((-1.3958408262 50.9366998046,-1.3957871968 50.9367037107,-1.3957859391 50.9366956721,-1.395782795 50.936677104,-1.3958354363 50.9366741037,-1.3958408262 50.9366998046))
http://id.southampton.ac.uk/room/32-3029	32 / 3029	50.93621943	-1.395733917	3	POLYGON((-1.3957621338 50.9362339027,-1.395710301 50.9362369031,-1.3957050908 50.9362052012,-1.3957580914 50.9362019744,-1.3957621338 50.9362339027))
